member_id,int_rate_refin,term_months_refin,p_default_refin,expected_income_refin,net_improvement,strategy,p_default,expected_income_actual
10879922,17.7,72.0,0.4486502989684001,2595.7543924567726,660.0350797889259,REFINANCE,0.6181948,1835.7193126678467
10849809,16.05,72.0,0.43874291853120706,3256.694215222671,845.5384768391395,REFINANCE,0.61009604,2311.1557383835316
10839468,19.2,72.0,0.4437200149083467,2652.342968917003,639.7420866252091,REFINANCE,0.60710746,1912.6008822917938
4848095,13.11,72.0,0.4285428948161084,11020.695995033171,3209.6632111508525,REFINANCE,0.6088055,7711.032783882319
10838035,15.260000000000002,72.0,0.42945254590060267,5343.1055892090935,1417.62013083507,REFINANCE,0.6001792,3825.4854583740234
10887167,17.02,72.0,0.4351481148209728,14806.168743217546,4043.626884697038,REFINANCE,0.601735,10662.541858520508
10867732,12.6,72.0,0.43230471397867265,14062.94762532032,4264.480849068526,REFINANCE,0.61699444,9698.466776251793
10759819,9.49,72.0,0.41655524017613965,11179.239181795032,3577.307433404836,REFINANCE,0.6172142,7501.931748390196
10763411,12.6,72.0,0.42399029842275654,7458.7496257237235,2132.0254796556274,REFINANCE,0.60512793,5226.724146068096
10753598,13.11,72.0,0.43229029418412573,12842.728964966707,3820.6239961804695,REFINANCE,0.6141292,8922.104968786238
10762923,13.11,72.0,0.4270049913505344,2268.401289991937,576.6508354767186,REFINANCE,0.60662067,1591.7504545152185
10800380,13.7,72.0,0.4375475000452112,5787.551856659784,1675.8978336800483,REFINANCE,0.61852264,4011.6540229797356
10791898,15.260000000000002,72.0,0.4404820580740233,12140.249650937554,3518.6018720068896,DO NOTHING,0.61559343,8521.647778930665
10772127,17.7,72.0,0.43901522460550363,1980.8372419179666,456.1739253104913,REFINANCE,0.60491866,1424.6633166074753
10751090,17.7,72.0,0.4385374441005216,23129.449990279012,6380.6818811958365,DO NOTHING,0.6042603,16648.768109083176
10780817,9.49,72.0,0.41735647999315684,6379.363900554926,2005.841270936282,REFINANCE,0.6184014,4273.522629618644
1381171,13.11,72.0,0.42812203245999947,6452.3404116178335,1834.1520639423316,REFINANCE,0.6082076,4518.188347675502
1488942,19.2,72.0,0.4482394748569084,5639.765031697596,1504.1578018255477,REFINANCE,0.6132911,4035.6072298720483
8256731,16.05,72.0,0.4362908443671995,2943.830138003392,745.599845340414,DO NOTHING,0.6066863,2098.230292662978
10780384,12.6,72.0,0.42310413516909867,22735.466032985816,6677.094226543079,REFINANCE,0.6038632,15958.371806442738
10780045,14.600000000000001,72.0,0.43665900272235536,2985.848120820836,790.1396935555495,REFINANCE,0.6130434,2095.7084272652864
10759001,15.260000000000002,72.0,0.44059371456906604,5367.724274192557,1500.7166000897732,REFINANCE,0.6157495,3767.0076741027833
10796735,12.6,72.0,0.4277213802400804,7136.571913785089,2070.889824453343,REFINANCE,0.610453,4965.682089331746
10788817,13.11,72.0,0.43457669574889063,5324.256242824928,1541.6920240566,REFINANCE,0.61737734,3682.5642187683284
10798734,16.05,72.0,0.4334771271985817,4339.168639647903,1131.1506375193017,REFINANCE,0.60277367,3108.018002128601
4229034,13.11,72.0,0.43627231246305537,6742.962496469877,1994.560815063528,REFINANCE,0.6197862,4648.401681406349
10778627,13.7,72.0,0.43743829329808553,9594.48990780115,2842.648819267748,REFINANCE,0.61836827,6651.8410885334015
10698061,12.6,72.0,0.4224074076343056,5593.175627432437,1562.1326855283687,REFINANCE,0.6028688,3931.0429419040684
